n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
29,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.96153846153846
30,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.89285714285714
31,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.26923076923077
32,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.125
33,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.6
34,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.21428571428571
35,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.71428571428571
36,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7
37,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.5
38,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7
39,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,5.875
40,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.35714285714286
41,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.77777777777778
42,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.83333333333333
43,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,5.875
44,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.35714285714286
45,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.625
46,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.72222222222222
47,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7
48,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.625
49,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.75
50,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.75
51,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,9.625
52,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,9.16666666666667
53,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,9.33333333333333
54,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,9.5
55,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.5
56,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.5
57,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.6
58,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.21428571428571
59,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.71428571428571
60,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7
61,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.5
62,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7
63,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,5.875
64,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.35714285714286
65,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.77777777777778
66,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.83333333333333
67,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,5.875
68,16,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.35714285714286
69,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.71428571428571
70,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.5
71,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.8
72,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.09090909090909
73,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.6875
74,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.61111111111111
75,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.60714285714286
76,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.1
77,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,23
78,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,9.625
79,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,9.75
80,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,15.25
81,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,23.3
82,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,11.5
83,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,10.8333333333333
84,41,Aechmea nudicaulis,Aechmea nudicaulis,35,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,NA
85,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,25,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,8.875
86,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,25,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,NA
87,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,25,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,9.42857142857143
88,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,25,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,9.1
89,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,35,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,17.6666666666667
90,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,35,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,18.25
91,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,35,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,18.5
92,41,Cryptanthus schwackeanus,Hoplocryptanthus schwackeanus,35,Herb,Restricted,Xeric,NA,ND,Cryptanthus_schwackeanus,18.4285714285714
93,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7
94,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.125
95,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.83333333333333
96,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.375
97,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.08333333333333
98,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.5
99,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.33333333333333
100,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.25
101,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,11.5714285714286
102,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,11.7777777777778
103,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,12
104,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,10.8
105,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13
106,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,11.4166666666667
107,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,11.3
108,41,Neoregelia bahiana,Neoregelia bahiana,35,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,10.625
109,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.40909090909091
110,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.16666666666667
111,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.9375
112,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,4.05555555555556
113,41,Tillandsia stricta,Tillandsia stricta,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.23076923076923
114,41,Tillandsia stricta,Tillandsia stricta,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,4.15
115,41,Tillandsia stricta,Tillandsia stricta,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.5625
116,41,Tillandsia stricta,Tillandsia stricta,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.33333333333333
117,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.59090909090909
118,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.375
119,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.4
120,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.07142857142857
121,41,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.66666666666667
122,41,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6
123,41,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7.25
124,41,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7.07142857142857
125,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.61111111111111
126,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.95833333333333
127,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.4375
128,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.39285714285714
129,41,Vriesea crassa,Vriesea crassa,35,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,5.31818181818182
130,41,Vriesea crassa,Vriesea crassa,35,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,5.125
131,41,Vriesea crassa,Vriesea crassa,35,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,5.36666666666667
132,41,Vriesea crassa,Vriesea crassa,35,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,5.75
133,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.85714285714286
134,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.69444444444444
135,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.25
136,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.625
137,41,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.96153846153846
138,41,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.89285714285714
139,41,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.26923076923077
140,41,Vriesea friburgensis,Vriesea friburgensis,35,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.125
141,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.5
142,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.5
143,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.41666666666667
144,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,4.5
145,41,Vriesea minarum,Vriesea minarum,35,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,9.875
146,41,Vriesea minarum,Vriesea minarum,35,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,11.5
147,41,Vriesea minarum,Vriesea minarum,35,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,7.5
148,41,Vriesea minarum,Vriesea minarum,35,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,10.5
149,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,13.125
150,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,12.6666666666667
151,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,12.5
152,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,13.5
153,61,Alcantarea imperialis,Alcantarea imperialis,35,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,17.75
154,61,Alcantarea imperialis,Alcantarea imperialis,35,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,16.6666666666667
155,61,Alcantarea imperialis,Alcantarea imperialis,35,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,16.625
156,61,Alcantarea imperialis,Alcantarea imperialis,35,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,16.3333333333333
157,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.575
158,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.54347826086957
159,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.52083333333333
160,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.69444444444444
161,77,Calliandra fasciculata,Calliandra fasciculata,35,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.23333333333333
162,77,Calliandra fasciculata,Calliandra fasciculata,35,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.96153846153846
163,77,Calliandra fasciculata,Calliandra fasciculata,35,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.55555555555556
164,77,Calliandra fasciculata,Calliandra fasciculata,35,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.16666666666667
165,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.30769230769231
166,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.22727272727273
167,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.4
168,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.46153846153846
169,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,35,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.59375
170,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,35,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,4.28571428571429
171,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,35,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,4.3
172,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,35,Shrub,Widespread,Xeric,7.76,D,Mimosa_foliolosa,3.38888888888889
173,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,25,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,6.70833333333333
174,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,25,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,6.875
175,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,25,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,7.38461538461539
176,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,25,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,7.3125
177,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,35,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,14.0833333333333
178,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,35,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,NA
179,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,35,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,9.16666666666667
180,80,Acisanthera alsinaefolia,Acisanthera alsinaefolia,35,Shrub,Widespread,Mesic,0.000925,ND,Acisanthera_alsinefolia,7.63636363636364
181,80,Miconia ibaguensis,Miconia ibaguensis,25,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,21
182,80,Miconia ibaguensis,Miconia ibaguensis,25,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,18.875
183,80,Miconia ibaguensis,Miconia ibaguensis,25,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,22.75
184,80,Miconia ibaguensis,Miconia ibaguensis,25,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,17.5
185,80,Miconia ibaguensis,Miconia ibaguensis,35,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,NA
186,80,Miconia ibaguensis,Miconia ibaguensis,35,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,30.1666666666667
187,80,Miconia ibaguensis,Miconia ibaguensis,35,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,27.25
188,80,Miconia ibaguensis,Miconia ibaguensis,35,Shrub,Widespread,Mesic,0.0012,ND,Miconia_ibaguensis,NA
189,80,Miconia stenostachya,Miconia stenostachya,25,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,12.5
190,80,Miconia stenostachya,Miconia stenostachya,25,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,NA
191,80,Miconia stenostachya,Miconia stenostachya,25,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,13.8333333333333
192,80,Miconia stenostachya,Miconia stenostachya,25,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,17.5
193,80,Miconia stenostachya,Miconia stenostachya,35,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,28.25
194,80,Miconia stenostachya,Miconia stenostachya,35,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,22.5
195,80,Miconia stenostachya,Miconia stenostachya,35,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,19.75
196,80,Miconia stenostachya,Miconia stenostachya,35,Shrub,Widespread,Xeric,0.0041,ND,Miconia_stenostachya,23.5
197,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,4.66666666666667
198,80,Rhynchanthera cordata,Rhynchanthera cordata,25,Shrub,Widespread,Mesic,0.00255,ND,Rhynchanthera_cordata,4.79166666666667
