,n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
180,180,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,3.461538462
181,181,80,Cambessedesia hilariana,Cambessedesia hilariana,15,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,28.5
182,182,80,Cambessedesia hilariana,Cambessedesia hilariana,15,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,NA
183,183,80,Cambessedesia hilariana,Cambessedesia hilariana,15,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,28.33333333
184,184,80,Cambessedesia hilariana,Cambessedesia hilariana,15,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,24.75
185,185,80,Cambessedesia hilariana,Cambessedesia hilariana,25,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,20.26190476
186,186,80,Cambessedesia hilariana,Cambessedesia hilariana,25,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,9.9375
187,187,80,Cambessedesia hilariana,Cambessedesia hilariana,25,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,9.772727273
188,188,80,Cambessedesia hilariana,Cambessedesia hilariana,25,Shrub,Widespread,Xeric,0.01,ND,Cambessedesia_hilariana,17
189,189,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,15,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,22.16666667
190,190,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,15,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,21
191,191,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,15,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,21.1
192,192,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,15,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,20.625
193,193,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,25,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,5
194,194,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,25,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,5.5
195,195,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,25,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,5.3125
196,196,80,Lavoisiera pulcherrima,Lavoisiera pulcherrima,25,Shrub,Restricted,Mesic,0.004,ND,Lavoisiera_pulcherrima,6.5
197,197,80,Lavoisiera subulata,Lavoisiera subulata,15,Shrub,Widespread,Mesic,0.00275,ND,Lavoisiera_subulata,14.625
